time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,9,4,0,0
2026-04-06 00:00:00+00:00,11,7,2,1
2026-04-07 00:00:00+00:00,8,4,10,1
2026-04-08 00:00:00+00:00,13,5,22,3
2026-04-09 00:00:00+00:00,14,6,1,1
2026-04-10 00:00:00+00:00,32,10,20,3
2026-04-11 00:00:00+00:00,19,9,4,1
2026-04-12 00:00:00+00:00,17,7,5,1
2026-04-13 00:00:00+00:00,23,10,3,2
2026-04-14 00:00:00+00:00,18,4,10,1
2026-04-15 00:00:00+00:00,17,9,12,2
2026-04-16 00:00:00+00:00,19,8,1,1
2026-04-17 00:00:00+00:00,5,4,0,0
2026-04-18 00:00:00+00:00,13,7,0,0
